0.2800	6.3211	-3.0981	0.0000	0.2537	0.0469
0.3600	5.6975	-3.4303	0.0000	0.1691	0.0354
0.4480	5.2949	-3.4867	0.0000	0.1683	0.0364
0.4900	5.4526	-3.5521	0.0000	0.1677	0.0349
0.5500	5.1575	-3.5950	0.0000	0.1615	0.0326
0.6000	5.6591	-3.6145	0.0000	0.1558	0.0294
0.6470	5.4256	-3.5918	0.0000	0.1574	0.0295
0.6900	5.3407	-3.5353	0.0000	0.1487	0.0300
0.7360	5.4179	-3.4600	0.0000	0.1419	0.0326
0.7700	5.7554	-3.2514	0.0000	0.1313	0.0383
0.8030	5.4411	-3.1028	0.0000	0.1264	0.0461
0.8300	5.6290	-2.9826	0.0000	0.1098	0.0418
0.8730	6.1695	-2.5654	0.0000	0.1026	0.0398
0.9000	7.3912	-2.3506	0.0000	0.1025	0.0392
0.9210	8.8937	-2.0447	0.0000	0.1076	0.0339
0.9510	13.7166	-1.6458	0.0000	0.1382	0.0290
0.9680	18.5410	-1.2146	0.0000	0.1851	0.0304
0.9805	23.9734	-0.6001	0.0000	0.2440	0.0299
0.9865	21.5957	-0.1645	0.0000	0.2216	0.0276
0.9960	15.0122	0.0469	0.0000	0.1742	0.0380
1.0070	11.4325	0.2397	0.0000	0.1376	0.0353
1.0240	10.2268	0.2403	0.0000	0.1275	0.0315
1.0400	9.2577	0.3907	0.0000	0.1021	0.0243
1.0780	8.0739	0.6887	0.0000	0.0771	0.0175
1.1350	6.9212	0.9756	0.0000	0.0867	0.0161
1.1600	6.4280	1.0093	0.0000	0.1066	0.0166
1.1930	6.0576	1.1471	0.0000	0.1113	0.0182
1.2100	6.2292	1.0827	0.0000	0.1188	0.0188
1.2350	5.9238	1.2170	0.0000	0.1052	0.0178
1.2670	5.7163	1.3340	0.0000	0.0972	0.0198
1.2970	5.2777	1.4951	0.0000	0.1028	0.0218
1.3230	5.3359	1.5515	0.0000	0.1076	0.0220
1.3500	5.0731	1.7440	0.0000	0.1117	0.0250
1.3760	5.2212	1.8697	0.0000	0.1185	0.0276
1.4020	5.4552	2.0314	0.0000	0.1277	0.0285
1.4270	5.8790	2.3331	0.0000	0.1527	0.0297
1.4400	5.6721	2.5772	0.0000	0.1760	0.0325
1.4550	5.8632	2.7455	0.0000	0.1805	0.0302
1.4700	5.8053	3.1109	0.0000	0.1745	0.0277
1.4920	5.3500	3.6188	0.0000	0.1563	0.0282
1.5200	4.0650	4.3324	0.0000	0.1694	0.0366
1.5300	4.0419	4.6553	0.0000	0.1885	0.0465
1.5570	2.9021	4.6916	0.0000	0.1906	0.0666
1.5780	3.1097	4.8556	0.0000	0.2203	0.0682
1.6000	3.4859	4.9990	0.0000	0.2454	0.0524
1.6200	4.3269	5.2152	0.0000	0.2811	0.0447
1.6400	5.0533	5.3816	0.0000	0.2712	0.0459
1.6590	4.7170	5.4194	0.0000	0.3206	0.0669
1.6800	4.6212	5.6021	0.0000	0.3306	0.0803
1.7000	4.5739	5.6052	0.0000	0.4188	0.0788
1.7350	2.6258	24.1519	0.0000	0.3193	0.1927
