0.280	2.700	-3.400
0.400	2.014	-3.866
0.487	2.625	-3.834
0.572	3.202	-3.688
0.657	3.442	-3.692
0.739	5.025	-3.382
0.802	5.097	-2.905
0.857	6.003	-2.691
0.898	8.325	-2.393
0.925	11.268	-2.171
0.944	14.556	-2.010
0.957	18.312	-1.756
0.967	22.431	-1.437
0.975	26.252	-1.098
0.981	27.150	-0.786
0.988	24.200	-0.505
0.999	17.274	-0.146
1.021	12.045	0.090
1.052	9.941	0.221
1.088	8.488	0.491
1.125	7.632	0.836
1.161	6.716	0.981
1.192	6.298	1.095
1.219	6.688	1.323
1.240	7.067	1.396
1.259	7.060	1.361
1.275	6.648	1.500
1.290	6.186	1.732
1.304	6.169	1.806
1.318	6.551	1.727
1.331	6.863	1.694
1.345	6.982	1.760
1.358	7.033	1.869
1.372	7.310	1.976
1.385	8.144	2.039
1.399	9.070	2.086
1.413	9.301	2.170
1.426	9.105	2.294
1.441	9.130	2.443
1.456	9.074	2.616
1.475	8.261	2.843
1.500	6.316	3.249
1.543	2.993	4.089
1.605	2.068	4.584
1.823	3.291	7.256
