0.2800	8.2214	-3.303
0.3600	7.1809	-3.634
0.4480	6.7566	-3.699
0.4900	6.8439	-3.764
0.5500	6.6677	-3.752
0.6000	6.5816	-3.712
0.6470	6.3485	-3.640
0.6900	5.9434	-3.626
0.7360	5.9423	-3.456
0.7700	5.8058	-3.340
0.8030	5.9436	-3.051
0.8300	5.8768	-2.860
0.8730	7.1696	-2.431
0.9000	8.5383	-2.138
0.9210	11.1371	-1.937
0.9510	16.9499	-1.457
0.9680	23.6116	-1.115
0.9805	30.8779	-0.347
0.9865	26.9743	-0.041
0.9960	18.4130	0.1925
1.0070	14.6070	0.3126
1.0240	12.3907	0.4145
1.0400	11.4642	0.4869
1.0780	9.9387	0.7748
1.1350	7.7855	1.0291
1.1600	7.2643	1.1229
1.1930	6.4832	1.2555
1.2100	6.7517	1.2758
1.2350	6.1875	1.4310
1.2670	6.3768	1.5299
1.2970	6.2100	1.7432
1.3230	6.1776	1.8492
1.3500	6.5034	1.9312
1.3760	6.7469	2.1095
1.4020	7.1564	2.2729
1.4270	7.7753	2.5582
1.4400	7.7624	2.7480
1.4550	8.1401	2.9585
1.4700	7.6985	3.2160
1.4920	7.4551	3.6710
1.5200	5.6716	4.3330
1.5300	4.3075	4.3505
1.5570	3.8666	4.5502
1.5780	3.5549	4.5022
1.6000	3.7222	4.7000
1.6200	3.5534	4.9226
1.6400	3.8849	4.9976
1.6590	3.7428	5.1421
1.6800	3.6999	5.3878
1.7000	3.6579	5.6287
1.7350	4.2981	5.4769
