0.280	2.700	-3.400
0.386	2.028	-3.832
0.462	2.331	-3.884
0.535	3.125	-3.723
0.608	3.118	-3.697
0.680	3.911	-3.652
0.748	5.083	-3.315
0.801	5.094	-2.913
0.850	5.772	-2.721
0.888	7.622	-2.476
0.917	10.169	-2.232
0.936	12.964	-2.094
0.951	16.219	-1.905
0.961	19.771	-1.645
0.969	23.618	-1.343
0.976	26.719	-1.034
0.982	27.009	-0.757
0.988	24.126	-0.501
0.997	17.834	-0.174
1.017	12.485	0.072
1.043	10.455	0.176
1.075	8.904	0.376
1.109	7.983	0.694
1.143	7.202	0.934
1.174	6.449	1.010
1.201	6.362	1.162
1.223	6.782	1.356
1.242	7.087	1.391
1.259	7.055	1.361
1.274	6.683	1.485
1.288	6.235	1.703
1.301	6.122	1.810
1.314	6.421	1.755
1.326	6.771	1.693
1.339	6.944	1.721
1.351	7.003	1.809
1.364	7.092	1.914
1.376	7.509	2.001
1.389	8.384	2.049
1.401	9.162	2.095
1.414	9.292	2.177
1.426	9.106	2.293
1.440	9.121	2.429
1.454	9.120	2.584
1.470	8.570	2.774
1.490	7.177	3.063
1.520	4.655	3.645
1.565	2.055	4.387
1.622	2.429	4.625
1.824	3.295	7.258
