0.936237	0.968016	1.45608	1.47902
0.936237	0.968016	1.47902	1.50211
0.936237	0.968016	1.50211	1.52663
0.727057	0.820541	1.52663	1.58053
0.727057	0.820541	1.58053	1.64238
0.820541	0.870179	1.52663	1.58143
0.820541	0.870179	1.58143	1.64238
0.870179	0.91974	1.52663	1.55552
0.870179	0.91974	1.55552	1.58266
0.870179	0.91974	1.58266	1.6114
0.870179	0.91974	1.6114	1.64238
0.91974	0.94708	1.52663	1.55667
0.94708	0.968016	1.52663	1.55667
0.91974	0.947344	1.55667	1.58404
0.947344	0.968016	1.55667	1.58404
0.91974	0.948744	1.58404	1.61336
0.948744	0.968016	1.58404	1.61336
0.91974	0.948396	1.61336	1.64238
0.948396	0.968016	1.61336	1.64238
0.727057	0.834861	1.64238	1.70217
0.727057	0.834861	1.70217	1.77877
0.834861	0.883413	1.64238	1.70674
0.834861	0.883413	1.70674	1.77877
0.883413	0.926151	1.64238	1.67122
0.883413	0.926151	1.67122	1.70343
0.883413	0.926151	1.70343	1.74138
0.883413	0.926151	1.74138	1.77877
0.926151	0.948135	1.64238	1.67587
0.948135	0.968016	1.64238	1.67587
0.926151	0.950232	1.67587	1.70886
0.950232	0.968016	1.67587	1.70886
0.926151	0.950854	1.70886	1.74299
0.950854	0.968016	1.70886	1.74299
0.926151	0.950837	1.74299	1.77877
0.950837	0.968016	1.74299	1.77877
0.727057	0.81428	1.77877	1.86783
0.81428	0.875009	1.77877	1.86783
0.727057	0.803782	1.86783	1.95036
0.803782	0.875009	1.86783	1.95036
0.875009	0.927216	1.77877	1.81161
0.875009	0.927216	1.81161	1.85375
0.875009	0.927216	1.85375	1.90089
0.875009	0.927216	1.90089	1.95036
0.927216	0.951429	1.77877	1.81707
0.951429	0.968016	1.77877	1.81707
0.927216	0.968016	1.81707	1.83645
0.927216	0.968016	1.83645	1.85831
0.927216	0.968016	1.85831	1.8794
0.927216	0.968016	1.8794	1.90246
0.927216	0.968016	1.90246	1.92581
0.927216	0.968016	1.92581	1.95036
0.968016	1.92647	0.32489	0.987672
0.968016	1.92647	0.987672	0.998454
0.968016	0.984504	0.998454	1.01872
0.984504	1.92647	0.998454	1.01872
0.968016	0.991711	1.01872	1.03638
